comment,rating
To palala hasat hasat,1
Me padlo mala laagla,-1
Mala mahit aahe,0
Me harlo,-1
Me kaam karoty,0
Me theek aahe,0
Aamhi jinklo,1
Aapan sagle jinklo,1
Mala call kar,0
Me tula call karto,0
Amhala call kar,0
Tu jevlas ka? ,0
Ekdum chan ghadi ghatlis ,1
Baher ho,0
Dur ho mjhya najare samorun,-1
Mala madat kar,0
Majhi madat kara,0
Mala vachva,0
Mala vachav,0
Me harry aahe,0
Majha naav harry aahe,0
Me jaada aahe,0
Jaada also tari khush aahe ,1
Me aajari aahe,-1
Mala taap aala aahe khoop,-1
Majha pot dukhtay,-1
Theek aahe,0
Sagla theek hoil,1
Jhakaas,1
Ekdum jhakaas,1
Khoop maja aali,1
Aamhala kalji aahe,1
Aapan harlo,-1
Aamhi harlo,-1
"Welcome, please aat yaa",0
He koni khalla?,0
Ekdum mast banavla hota,1
Kon palala?,0
Ka nahi?,0
Ajjibaat nahi,-1
Maage ho,0
Hatt kutrya,-1
Shanta raha,0
Tu thoda gap rahashil ka?,0
Maja kara,1
Aapan maja karuya,1
Khoop maja yet aahe mala,1
Tumhi maja karat aahat na?,0
Me visarlo,0
"Sorry, me visarlo",0
Me pooja karto,1
me te vaparto,0
me prayatna Karin,1
me gareeb aahe,-1
me shrimant aahe,1
khoop garmi aahe,-1
kay mast vatavaran aahe,1
"harry la kiss kar, to smart aahe",1
he Naveen aahe ,0
sod mala,0
ti meli,-1
tu pan mar jaun,-1
"ay sangtos kay, ekdum sahi yaar",1
te jinkle,1
te harle,-1
loss jhala yaar,-1
khoop profit jhala yaar,1
harry harla na,-1
harry jinkla na,1
to radla,-1
ti hasli,1
to bolla,0
ti lajli,0
he vapar,0
te nako vaprus,-1
bagh mala,0
baghun ghein tula,-1
kon aahes tu?,0
Tuch hasla na?,0
Kiti god diste ti,1
Khoop sundar aahe ti,1
Pakshi udat aahe,0
Ithe ye,0
Khali bas ani majhyasobat bol,0
Kutre kiti aavaj kartaat,0
"Shi, mala nahi aavdat te",-1
Radu nakos,0
Maru nakos,0
Aaj apan firayla jauya,1
Baher jauya aaj,1
Ready ho,0
Tayar ho,0
Te pakad,0
Tu ghanerda aahes,-1
Te dhar ,0
To sexy aahe,1
Ti sexy aahe,1
To hot aahe,1
Ti hot aahe,1
He kasa jhala?,0
to kamvat nahi,-1
to khoop kamavto,1
to majha aahe,0
ti majhi aahe,0
jhakk marli ani ithe aalo,-1
kasa challay?,0
mast challay,1
me jinken,1
me nahi jinknaar,-1
tichyasathi jinken,0
tichyamule harlo,-1
me tyala marle,-1
tyane mala maarle ,-1
me tula baghitla,0
tyane mala baghitla,0
tine mala baghitla,0
me tyanna baghitla,0
kiti joraat oradtos,0
kiti chaan oradtos,1
me bore jhalo aahe,0
mala bore hotay,-1
kantala aalay sala,-1
ekdum chindi aahe,1
khoop sundar aahe te chitra,1
he apla aahe,0
ha kachra vaas marto,-1
jaude na,0
mala jaudya na ghari,0
mala aat ghya,0
tula kapun taken,-1
dhamki detos ka re?,-1
nighun jaa ithun,0
taklya tujha baap,-1
haivaan aahes,-1
shaitan aahes ,-1
tu rakshas aahes,-1
tu devi aahes,1
tu sundar aahes,1
tu khoop naughty aahes,0
tula samjat nahi ka?,0
ekdum chavishta jevan aahe,1
khoop maja aale te khaun,1
khoop ghaan hoti ti dish,-1
majha pot dukhayla laagla,-1
to khotarda aahe,-1
ti khotardi aahe,-1
ti harami aahe,-1
to harami aahe,-1
mala bhook lagli,0
tula bhook lagli ka?,0
kay faltugir aahe hi?,-1
lay bhari ha,1
bharich distes,1
nusta jada jhalay,-1
ready jhalas ka?,0
ready jhalis ka?,0
tujhach aahe me,1
tujhich aahe me,1
to radla,-1
ti radli,-1
parat bagh,0
kiti sweet aahe ti,1
to kiti handsome aahe,1
me nahi aahe hushaar,0
to murkha aahe,-1
ti murkha aahe,-1
please chup raha,0
chup raha nahitar maren tula,-1
ti mhatari aahe,0
to mhatara aahe,0
bajula ho,0
bus ne jaa,0
hi bus kiti saaf aahe,1
hi bus ghanerdi aahe,-1
mala call kar,0
me tula call karin,0
shabbas ,1
"wah, kay baat aahe",1
time sampla,0
vel sampli,0
me chaan aavaj kadhto,1
majha ghasa basla aahe,-1
me visarlo,0
sorry majhi chuk jhali,1
mala maaf kara,1
tu barobar aahes,1
toch marg barobar aahe,1
tu kuthe aahes,0
to jada aahe,0
tu jadi aahes,0
sagle yede aahe,-1
tu kharach bekaar aahes,-1
tula kaam dhanda nahiye,-1
tu marun jaa,-1
kay mast distos,1
kay rapchik distes,1
tu sundar geet gaates,1
tu rani sarkhi distes,1
tu raja sarkha distos,1
apan lagna karuya,1
tila gaana aavadta ka?,0
tu gaates ka?,0
tu gaatos ka?,0
kiti chaan gaates,1
kiti apratim gaatos,1
tu shave kar,0
he bagh,0
tu he sundar fool bagh,1
ti tula aavadli ka?,1
tu traas nako deus,0
traas dilas tar maren,-1
gapchup chalta ho,-1
nighun jaa kayamcha,-1
amhi mula aahot,0
tumhi muli aahat,0
ti mala payje,0
ti majhich aahe,0
to majhach aahe,0
majhi madat kara please,0
mada kelyabaddal dhanyavaad,1
me thambto ,0
tu thambshil ka?,0
aapan kaam karu,0
amhi majet aahot,1
tumhi ka itke udaas?,-1
tula vait vatla ka?,0
mala vait vatla,-1
mala nahi jamat,-1
ti kon aahe,0
ti hot aahe,1
to hot aahe,1
ti ka oradli?,0
kiti karkash aavaj aahe ticha,-1
tu tharav,0
tula jail madhe taken,-1
jhala ka tujha?,0
tujha mast jhala,1
tu bhandu nakos,1
bhandlas tar vait hoil,-1
marun taken tula me,-1
tu dev aahes ka?,1
devasarkha aalas bagh,1
tu tar danav aahes,-1
maaf kar mala,1
me tula maaf kela,1
jaa kapde badal,0
kapde ghaan aahe,-1
kapde chaan aahe,1
suru kar gaadi,0
jaa masti kara,1
apan masti karuya,1
majhi gaadi kuthe aahe?,0
bas na,0
basun boluya na,0
apan basuya ka?,0
tula vachta yeta ka?,0
tu vachavlas mala,1
tu traas dilas mala,-1
tujhyakade daru aahe ka?,0
kiti mahaag aahe hi gadi,0
tu khush aahes na?,0
me jaam khush aahe,1
to khoop tarun aahe,1
tu kasa ithe aalas?,0
tu tar hero aahes,1
tu kiti uncha jhalas,1
"shabbas, unchi gathlis",1
tula nachta yete ka?,0
me tar dance madhe expert aahe,1
Ekdam sundar picture aahe,1
Mulund west kiti Motha ahe,1
Kya baat.. movie Ekdam mast.. maja aali.,1
Chaan aahe movie,1
Tu changla aahes,1
Gajanan cha vadapav saglyat best ahe,1
Ajj cha divas khup chaan aahe,1
Tu kiti masth disthes,1
Kfc Cha burger khup mast ahe,1
Kaka Halwai chi mithai khup chaan ahe.,1
Mala nachyla khup awdata,1
Tu khup ch intelligent ahes,1
Ha hero actually changla act karto,1
Mumbai khup chaan shahar aahe,1
Mumbai rahayala Farah chaan aahe,1
Gharatil padade sundar aahet,1
T.V. madhil batmya he sadar changle aahe,1
Sharirasathi morning walk changle aahe,1
Private shaletil soyi chan aahet,1
Lata mangeshkar yani gaylele git farach sundar aani aikavese vatate.,1
Sakali dudh pine changle aahe,1
Roj sakali lavkar uthave,1
Hee dish changli aahe,1
ha game ekdum mast aahe,1
bhau kadam majha favourite aahe,1
khelayla maja yete,1
aaj cha divas khoop ghaan aahe,-1
morning walk karayla kantala yeto,-1
sakali daru naste pyaychi,1
hee dish faltu aahe,-1
to tar villian disto,-1
Ekdam bechav fried rice milto ithe,-1
Mulund east khup congested ahe,-1
Bakwas fried rice..,-1
Mala nahi aavdala fried rice,-1
Tu haramkhor aahes,-1
Bhandup madhe rickshaw milatch nahi,-1
Ti tula patnar nhi,-1
Tho evdha changla gaath naahi,-1
Royal che biryani khup bakwaas ahe,-1
Shirur cha vada pav changla nasto.,-1
Mala non-veg khayla awdat nahi,-1
Harry aazkal weird vaghat aahe,-1
Tya movie madhe khup over acting keli hoti,-1
Daaru sharira Sathi nuksaankarak aahe,-1
Mumbaichi gardi Farach bekar aahe,-1
Gharala bhadak rang dilele bekar disatat,-1
T V. Madhil crime stories hi serial bekar aahe.,-1
Daru sharirasathi changli nahi,-1
Govt. Sharlet changlya soyich nastat,-1
Besur gayalele git nakose vatate.,-1
Chaha pine bekar,-1
Jasta vel zopu naye,-1
Ithe kapde bakwas miltat,-1
ithe game cd nahi milat,-1
badrike la acting yet nahi yaar,-1
kheltana lagu shakta,-1
mala chiken aavadta,1
harry kiti romantic aahe,1
daru tar nasha aahe,0
biryani majhi favourite aahe,1
theatre madhe natak baghuya,0
natak apratim hota,1
chaha tar zindagi aahe,1
jasta zoplo tar fresh vatte,1
government kharab aahe,-1
ithe kaslich soy nahiye,-1
badrike chaan abhinay karto,1
mumbai saglyat chaan shahar aahe,1
tv baghnyaat ananda milto,1
gardi madhe shvaas gheta yet nahi,-1
He sagla itar kuthalya hi dukanat milel,0
Deshmukh garden 8 vajta ughadta,0
Novelty shop madhye saglech milel,0
Novelty shop madhye sagalya vastu milatat,0
Tithe kutta zopla aahe,0
Mulund natr nahur station chi garaj ahe ka,0
Khalun bhaji ann,0
Me baher hotho,0
Pavilion mall madhe sagla milta,1
D- mart madhe saglya vastu miltat.,1
Lokani vachan karyla hava,0
Mala na world tour la jayach aahe,0
He Tya movie Cha moral hota,0
Bollywood Mumbai madhe aahe,0
Mumbai chi kayda vyavastha uttam aahe,1
Gharala gharpan aaplya mansanmule milate,0
T.V. pahane yogya aahe,1
Sharir chan thevne hi Kalachi Garza aahe,1
Shalet sarva prakare che shikshan dile jate,1
Gane aikane ha chanda asava,1
"Chaha, coffee hotel madhye milel",0
Yoga karane khup changale aahe,1
Hae icecream purna Maharashtra madhe milta,0
me kay karu?,0
show chaan aahe,1
kay khelaycha?,0
mulund station mast aahe,1
kaalche jevan kharaab jhale,-1
lok vachtil tar hushar bantil,0
pustake vachne changle aste,1
world tour karaychi majach vegli aahe,0
deshmukh kuthe aahe?,0
mala jevan nako,-1
mala chinese chalel,1
fried rice tasty aahe,1
me bread khato,0
mala bread aavadto,1
mala fruits pan aavadtat,1
tula kay avadta?,0
tu vyayam karto ka?,0
exercise bodysathi changla aasto,1
mala dhumrapan aavdat nahi,0
tula machchi aavadte ka?,0
machchi tar best aahe,1
bhaat ani machchi best combo aahe,1
chicken ani bhaat sarvaat bhari taste,1
me banvu ka?,0
mala ekdum chavishta chicken banavta yete,1
me ektach rahto,0
tu rahshil ka majhyasobat?,0
ekta rahayla maja yete,1
ekta rahila tar kahihi karta yeta,1
mala thoda vel hava,0
mala velach milat nahi,-1
kuthe jaycha honeymoon la?,0
tu sangshil tikde jau,0
ek goshta sangu ka tula?,0
tithech jauya chaan aahe ti jaga,0
ani kay karuya tikde?,0
tula kay karavasa vatta?,0
mala thoda vel hava,0
tula kiti time lagel?,0
mala gas cha vaas yetoy,0
gas cha vaas kiti mohak aahe na,1
mala thoda ajun milel ka?,0
ajun dials tar bara hoil,0
mala tuch havis,0
tu majhi hoshil ka?,0
me ekta hoto,0
nagda karun maren,-1
me damlo,0
me yeto udya,0
udya jaam majja yeil,1
me khota nahi bolat,1
ti sadhya kay karte?,0
duniyadaari karuya,1
timepass karuya,0
me te vikat gheto,0
ti vastu mala avadli,1
me ardaorda karen,-1
tu avaj nako karus,1
me jail madhe aahe,-1
jail khoop vait,1
me healthy aahe,1
health chi kalji ghene avashyak aahe,1
"me tom nahiye, me harry aahe",0
me khoop popular aahe,1
mala popularity aavadte,0
me he vachtoy,0
"he vach, tula aavdel",1
sagla khara hota ka?,0
he swapna tar nahi?,0
ekdum ghabarlo me,0
hi french bhasha aahe,0
french kiti sundar bhasha aahe,1
he gaana chaan aahe,1
gaana gauya ka?,0
mala gaude na ghari,0
chal suru karuya,0
chala suru jhala khel,0
majhe maher pandhari,0
tujhe maher kuthe aahe?,0
maherchi sadi mast aahe,1
ticha ti baghel,0
tujha tu bagh,0
to khoop manmokla aahe,1
tu majha man jinklas,1
tujhi adaa saglyat bhari,1
chal dhol vajvuya,0
nagara vajavta yeto ka?,0
basari saglyat surilee aahe,1
to tujha mitra aahe ka?,0
majha mitra lai bhari,1
majhi party best hoti,1
tu prayatna tar kar,1
tu yashasvi hoshil,1
tujhya lakshaat aahe ka?,0
bagh aathvun,0
tyane tila marla,-1
tine tyala marla,-1
dogha nantar hasle,1
mag kay jhala mahitiye ka?,0
tyanni lagna kela,1
mag te sukhi jhale,1
jhali na goshta majedaar,1
te majha aahe,0
tyanni phone kela hota,0
te thamble hote tujhyasathi,0
to changla mulga aahe,1
ti hushar aahe,1
tila tu aavadlas,1
saurabh lagna kar,0
tyacha lagna tharla,1
mulgi changli aahe,1
ti majhi aahe,0
te nachle,0
te khoop chaan nachle,1
te majhysathi thamble nahi,-1
me kay car nahi aanli,-1
car asel tar majja yeil,1
he khoop mothi goshta aahe,0
kay nachu mag me?,0
talya vaajva re,0
to ekdum bindok aahe,-1
ti ekdum faltu porgi aahe,-1
to budun mela,-1
to khoop vaya gelela aahe,-1
ti nahi bolli,-1
tila me nahi aavdat,-1
tyane tila pahile tar to khush jhala,1
tine tyala hriday dila,1
ti manachi pari aahe,1
asa majhya dolyancha mhanna aahe,0
chandra tujhy samor jhakk marto,0
tujhi zop koni udavali? Me? Aww..!,0
me tujhyavar prem karto,1
adva aalas tar kapun taaken,-1
chal bajula ho !,0
jaatos ka laat ghalu?,-1
chal na jaa na nigh ikdun,-1
maje vadil shrimant aahe,0
tujhe dad khoop handsome aahe,1
tujhi aai kiti god aahe,1
tutjhe pappa police aahe?,0
mala nahi aavdat sarkari naukri,-1
sakhar khoop god aste na?,0
mala nahi bolaychay tujhyashi,-1
tu tujha kaam kar na,0
mala traas nako deus tu,-1
mala mithai aavadte,1
mala barfi pan khoop avadte,1
majhyakade paise nahiye,-1
tu de na paise,0
tu tar jaam malamaal aahes yaar,1
majhyakade 2 cars aahe,0
me aanto na tujhe kapde,0
tujhi chavi haravli yaar,-1
me nahi jhoplo,-1
mala ek aavaj aala,0
me pan to aikla,0
mala te just sapadla,1
tu tom la tar olkhatach ashshil,0
me tila olakhto,0
me kon aahe mahit aahe ka?,0
mala cartoon aavadtaat,1
tu majhyasobat picture baghayla yeshil ka?,1
mala bhandayla aavadta,0
mala dance aavadto,1
me khoop veg vegle dance karu shakto,1
svapna pahane ha majha chand aahe,1
me japan madhe rahto,0
me tom sarkha disto,0
majha phone kuthetari haravla,-1
majha wallet pan haravla,-1
mala shikayla aavadta,1
mala shikvayla pan aavadta,1
mala lekhanachi aavad aahe,1
mala ek pencil detes ka?,0
me helmet gheun yeto,0
mala tujhi ek help haviye,0
me tujha kaidi aahe,-1
sod mala ithun jau de,-1
me bill bharto,1
mala football avadta,1
me tennis khelaycho,0
mala coffee jasta aavadte,1
me roj palto treadmill var,0
running mala aavadta,1
me tyala nanga pahila,-1
gym madhe to naagdach firto,-1
me divasbhar zoplo mast paiki,1
mala chicken cha vaas yetoy,0
me english bolto,0
mala english lihita dekhil yete,0
history majha jivlag vishay aahe,1
me te pustak haravla,-1
me tujhi baju manya karto,1
me help karaycha prayatna kela dekhil,1
mala ek vakil havay,0
mala thoda chaha milel ka?,0
ti sundar bag majhich aahe,0
mala svapnaat nachaychay,0
mala zop aaliye,0
mala tujhyashi kahitai bolaychay,0
mala tu parat havi aahes,1
mala tu parat hava aahes,1
me ajun tujhyavar prem karto,1
me ajun tujhyavar prem karte,1
me sainik aahe,0
me sainik hoto,0
me ek teacher dekhil hoto,0
mala fighting yete,1
me martial arts champion aahe,1
majhyvar halla jhala,-1
me tar gaadit hoto,0
train ni jayla hava hota,0
me shopping la jatoy udya,0
shopping ne majha man halka hota,1
me katha lihito,0
mala goshti lihayla maja yete,1
mala horror nahi aavdat,-1
horror far ghaan aahe,-1
me daha vajta yeto,0
mala thoda ushir hoil ,-1
me damloy khoop,0
me khoop thakloy,0
me nahi karu shakat te,-1
me tujha naukar nahiye ,-1
me ek engineer aahe bar ka,1
me police jhalo!,1
me tula phone laavto ,0
mala kahich ghai nahiye,0
me just vicharla,0
me jau tula sodun?,0
nako jaus mala sodun ,0
me raden tu gelis tar,-1
me raden tu gelas tar,-1
me kay chor vaatlo ka tula?,-1
tu majhyavar chori cha aadh ghetoys,-1
me bhandat nahiye,0
me tula marun ithech gaaden,-1
me ajun jivanta aahe,0
mala tar laajach vattey,0
mala khoop bhook laagli aahe,0
mala kahi khayla milel ka?,0
arrey wah! Kiti god aahe ha chaha,1
me tujha aabhari aahe,1
tu actor aahes ka?,0
ho me ek kalavant aahe,0
tujhay svapnaat aalelo ka me?,0
ithe koni aahe ka?,0
tithe koni lapay ka?,0
chal na daru paajto tula,0
nako me madhyapaan nahi karat,1
to shvaas ghetoy ka? Ke mela!,0
baatmi god aahe,1
baatmi vait aahe,-1
baatmi kay aahe sangshil??,0
he khoop lahan aahe ka?,0
ti kay japani aahe ka?,0
to kuthla pakshi aahe?,0
to kuthla praani aahe?,0
to pakshi kiti rubabdaar aahe,1
to vagh kiti bhari aahe,1
tujhyakade credit card aahe ha?,0
mala card hava aahe,0
ti bank sarvat chaan aahe,1
ti bank sarvat ghaan aahe,-1
mala ek chaan gaana aikav,1
tu tujha tond kala kar,-1
tu gharat kuthun aala?,0
me tula baher kaden,-1
tu kiti nirlajja aahe,-1
tula dusra kahich kaam nahi ka?,0
asa vichitra ka vagtoys,0
sasu peksha soon shreshta,1
sune peksha sasu bindok,-1
tyane khoop mehnat keli,1
shopping keli tar kharcha hoto,0
aajkalchya movies khoop boring aahe,-1
mala te tasach havay,0
aapan far lahan aahot,0
sang mala me kay karu,0
me tujha mulga aahe ka?,0
mala aavdel tula aai mhanayla,1
tu ti building banavlis ka?,0
far uncha aahe ti imarat,0
ti society tar ekdum shrimant aahe,1
tu rahayla kuthe aahes?,0
aala re aala!,0
sachin majha favourite aahe,1
mala cricket far avadta,1
footbal tar majhi jaan aahe,1
tula ajun kuthle khel aavadtat?,0
mala karate ekdum chaan yeta,1
chal lagna karun palun jauya,0
apan apla kaam karuya,0
me ek cake bake karu ka?,0
cake chi taste ekdum super aahe,1
bagh nisarga kiti sundar aahe,1
bagh pori kiti sundar aahe,1
bagh ti kiti sundar aahe,1
me he ithe thevu ka?,0
mala thodasa aaram karaycha aahe,0
majhe kutre ekdum pure aahe,0
majhe kaan vaajtay,0
majhe vadil far uncha aahe,0
majhe haath bandhle aahe,0
tujhyashivay man nahi ramat,0
kay karu me yaar?,0
ata he hone shakya nahi,0
tujhyasathi me chandra todun aanen,0
ti gana gayla lagli,0
ti ghanerda gaana gayla laagli,-1
ti sundar gaana gau lagli,1
to khoop uncha udi maarto,1
ti khoop uncha udi maarte,1
to mala thambavtoy,0
ti mala thambavtey,0
to jasta laamb nahi jau shakat,0
ti jasta lamb jau shakte,0
tichayakade photo aahe,0
tyachyakade photo aahe,0
tiche dole nile aahe,0
tyache dole kale aahe,0
ti radayla suru karel,-1
to radayla suru karel,-1
ti khoop aakarshak aahe,1
to khoop aakarshak aahe,1
to ticha mitra aahe,0
ti tyachi maitrin aahe,0
tine ajubajula baghitla,0
tyane tichyakade dagad fekla,-1
tine majhi hajamat keli,-1
tu mala sangitla nahis,0
tine mala sangitla nahi,0
tila german bolta yete,1
tyala german bolta yete,1
ti tyala gheun ghari geli,0
to tila gheun ghari gela,0
mala tyancha photo dakhav,0
te sundar photo kuthe aahet?,0
hya fulacha vaas ghe,0
aat konitari aahe,0
konitari bolat aahe,0
majhyapasun laamb raha,0
mala chedhu nakos,-1
mala te aavdat nahi,-1
kiti vichitra aahe na?,0
tu khotardi nighshil asa vatla nahvta,-1
tu khotarda nighshil asa vatla nhavta,-1
mala aata khara khara sang,0
kalji kelyabaddal dhanyawad,1
to mulga hushar aahe,1
ti mulgi hushar aahe,1
chaturai ek kala aahe,1
khel faar majedaar hota,1
to bangla kiti motha aahe,1
ti zopdi kiti lahaan aahe,-1
hi jameen thanda aahe,0
he sarbat thanda aahe,0
ha chaha kiti garam aahe,0
ti tyachi bayko aahe,0
to ticha navra aahe,0
tine ghanti vajavli,0
to nehmi khara bolto,1
ti nehmi khota bolte,-1
te parat nahi ghadnaar,0
to majha jivlag mitra aahe,1
ti majhi jivlag maitrin aahe,1
ti tyachi shatru aahe ,-1
to ticha shatru aahe,-1
to saglyancha shatru aahe,-1
to konalach aavdat nahi,-1
ti konalach aavdat nahi,-1
ti saglyanna shivi dete,-1
to mulga damlela ,0
ti mulgi damleli,0
ti tyala chaavli,1
to tila chaavla,-1
coffee farach garam hoti mhanun sandli,-1
coffee ekdum bhangar hoti mhanun takun dili,-1
cheque bounce jhala na,-1
banket paisech nahiye tar kay honar!,-1
ata me kuthun aanu paise?,0
mala kaam dhanda nahiye na!,-1
itka mota market kuthe aahe?,0
mala kay mahit.. Tu tujha bagh,0
dukhna aahe ka gela?,0
mala far traas hotoy ya saglyancha,-1
majha doka dukhayla laglay tujhyamule,-1
tula kitihi samjavla tari tu bindokach rahnaar,-1
ha phone kiti svasta aahe,1
ithe rent kiti kami aahe,1
hi afwa koni pasravli?,0
surya ek tara aahe,0
tara ani sitara majhe mule aahe,0
tara vaya geleli mulgi aahe,-1
taki rikami koni keli?,0
panyachi taki tu bharlis ka?,0
pani kiti gadhul aahe!,-1
he pani vishari aahe,-1
hi pan nalayak aahe,-1
pani khoop garam aahe,-1
me nahi karnaar anghol,-1
mala ghanerda rahayla aavadta,-1
me diwali sajri karnaar,1
pollution nahi kela pahije aapan,1
kachra dekhil nahi kela pahije,1
swachcha bharat abhiyaan changli scheme aahe,1
modi aapla pradhan mantri aahe,0
aamhi sagle gaavi jaatoy,0
mala banana aavadto,1
tila banana aavadto,1
fruits health sathi changle astaat,1
tajya tajya bhajya khallya pahije,1
ladi pusun kaadh,0
tu ya gharchi naukar aahes,-1
tu ya gharcha javai aahes,1
tujhyasathi porgi baghitli aahe,0
porgi far sundar aahe disayla,1
tula nakki avdel ti!,1
ata becky kon aahe?,0
mala nahi karaycha kahi jevayla,-1
chal na udya jauya market la,0
mala far kharedi karaychi aahe,0
A naktodya ikde ye!,-1
tu ithe yetos ka tithe yeun tujhi pappi gheu?,0
ye ithe ani ghe pappi!,1
please mala sod ithech,-1
divorce havay mala ,-1
me nahi denar tula divorce,0
tu majhi bayko aahes na?,0
ho pan tu majha navra nahiyes,-1
aye jaude na ata ka chidtes?,0
mag kay nachu tujhyasathi?,0
ja ani jevan gheun ye,0
ho! Tujhyasathi ekdum bhari jevan aanto,1
tu fakta chidu nakos!,0
ratri khel kheluya ka?,0
