Marathi,English
तो पळाला हसत हसत,He ran away laughing
मी पडलो मला लागलं,I fell
मला माहित आहे,I know
मी हरलो,I lost
मी काम करतोय,I am working
मी ठीक आहे,I&#39;m fine
आम्ही जिंकलो,We won
आपण सगळे जिंकलो,We all win
मला कॉल कर,Call me
मी तुला कॉल करतो,I call you
आम्हाला कॉल कर,Give us a call
तू जेवलास का?,Did you eat
एकदम छान घडी घातलिस,Full screened ambulance
बाहेर हो,Get out
दूर हो माझ्या नजरे समोरून,Get out of my sight
मला मदत कर,Help me
माझी मदत करा,Help me
मला वाचवा,Save me
मला वाचव,Save me
मी हॅरी आहे,I&#39;m Harry
माझं नाव हॅरी आहे,My name is Harry
मी जाडा आहे,I&#39;m thick
जाडा असलो तरी खूश आहे,Happy despite being thick
मी आजारी आहे,I&#39;m sick
मला ताप आला आहे खूप,I&#39;ve got a fever
माझं पोट दुखतय,My stomach hurts
ठीक आहे,Ok
सगळं ठीक होईल,Everything will be fine
झक्कास,Jest
एकदम झक्कास,Absolutely jittery
खूप मजा आली,It was a lot of fun
आम्हाला काळजी आहे,We care
आपण हरलो,You lose
आम्ही हरलो,We lost
"वेलकम, प्लीज आत या","Welcome, please or"
हे कोणी खाल्लं?,Who ate this?
एकदम मस्त बनवलं होतं,It was made very cool
कोण पळाला?,Who escaped?
का नाही?,Why not
अजिबात नाही,Not at all
मागे हो,Ask me
हट कुत्र्या,Hot dogs
शांत रहा,Kept calm
तू थोडा गप राहशील का?,Will you be quiet
मजा करा,Have fun
आपण मजा करूया,Let&#39;s have fun
खूप मजा येत आहे मला,I&#39;m having a lot of fun
तुम्ही मजा करत आहात ना?,Are you kidding
मी विसरलो,I forgot
"सॉरी, मी विसरलो","Sorry, I forgot"
मी पूजा करतो,I worship
मी ते वापरतो,That&#39;s what I use
मी प्रयत्न करीन,I will try
मी गरीब आहे,I am poor
मी श्रीमंत आहे,I&#39;m rich
खूप गरमी आहे,It&#39;s very hot
काय मस्त वातावरण आहे,What a cool atmosphere
"हॅरी ला किस कर, तो स्मार्ट आहे","Kiss Harry, he&#39;s smart"
हे नवीन आहे,It&#39;s new
सोड मला,Leave me
ती मेली,She died
तू पण मर जाऊन,You too will die
"ए सांगतोस काय, एकदम सही यार","What do you say, perfect man"
ते जिंकले,They won
ते हरले,They lost
लॉस झालं यार,Lost man
खूप प्रॉफिट झाला यार,Very profitable man
हॅरी हरला ना,Harry lost
हॅरी जिंकला ना,Harry won
तो रडला,He cried
ती हसली,She laughed
तो बोलला ,He spoke
ती लाजली,She was ashamed
हे वापर,Use it
ते नको वापरुस,Don&#39;t use it
बघ मला,Look at me
बघून घेईन तुला,Will see you
कोण आहेस तू?,Who are you
तूच हसला ना?,You didn&#39;t laugh?
किती गोड दिसते ती,How sweet it looks
खूप सुंदर आहे ती,She is very beautiful
पक्षी उडत आहे,The bird is flying
इथे ये,Come here
खाली बस आणि माझ्यासोबत बोल,Sit down and talk with me
कुत्रे किती आवाज करतात,How much noise do dogs make?
शी! मला नाही आवडत ते,Shi! I don&#39;t like that
रडू नको,Don&#39;t cry
मरु नकोस,Don&#39;t die
आज आपण फिरायला जाऊया,Let&#39;s go for a walk today
बाहेर जाऊया आज,Let&#39;s go out today
रेडी हो,Ready
तय्यार हो,Be ready
ते पकड,Te caught
तू घाणेरडा आहेस,You are filthy
ते धर,Te dhar
तो सेक्सी आहे,It&#39;s sexy
ती सेक्सी आहे,She is sexy
तो हॉट आहे,It&#39;s hot
ती हॉट आहे,She is hot
हे कसं झालं?,How did this happen?
तो कमवत नाही,He does not earn
तो खूप कमवतो,He earns a lot
तो माझा आहे,He is mine
ती माझी आहे,She is mine
झक्क मारली आणि इथे आलो,Jerked and came here
कसं चाललंय?,How are you doing
मस्त चाललंय,It&#39;s cool
मी जिंकेन,I will win
मी नाही जिंकणार,I&#39;m not gonna win
तिच्यासाठी जींकेन,Jenkin for her
तिच्यामुळे हरलो,Lost because of her
मी त्याला मारले,I killed him
त्याने मला मारले,He killed me
मी तुला बघितलं,I see you
त्याने मला बघितलं,He looked at me
तिने मला बघितलं ,She looked at me
मी त्यांना बघितलं,I looked at them
किती जोरात ओरडतोस,How loud you shout
किती छान ओरडतोस,What a great shout
मी बोर झालो आहे,I&#39;m bored
मला बोर होतंय,I&#39;m bored
कंटाळा आलंय साला,Tired of years
एकदम चींदी आहे,There is a lot of shit
खूप सुंदर आहे ते चित्र,The picture that is so beautiful
हे आपलं आहे,This is ours
हा कचरा वास मारतो,This rubbish smells
जाऊदे ना,Let&#39;s go
मला जाऊद्या ना घरी,Let me go home
मला आत घ्या,Take me in
तुला कापून टाकेन,Will cut you off
धमकी देतोस का रे?,Do you threaten
निघून जा इथून,Get out of here
टकला तुझा बाप,Luck your father
हैवान आहेस,You are human
शैतान आहेस,You are the devil
तू राक्षस आहेस,You&#39;re a monster
तू देवी आहेस,You are a goddess
तू सुंदर आहेस,You are beautiful
तू खूप नॉटी आहेस,You are so naughty
तुला समजत नाही का?,Do you not understand
एकदम चविष्ट जेवण आहे,Is a very tasty meal
खूप मजा आली ते खाऊन,It was a lot of fun eating it
खूप घान होती ती डिश,That dish was very Ghana
माझं पोट दुखायला लागलं,My stomach started to ache
तो खोटारडा आहे,He is a liar
ती खोटारडी आहे,She is a liar
ती हरामी आहे,She is a bastard
तो हरामी आहे,He&#39;s a bastard
मला भूक लागली,I was hungry
तुला भूक लागली का?,Are you hungry
काय फालतुगिरी आहे ही?,What &#39;s wrong?
लय भारी हा,Rhythm heavy
भारीच दिसतेस,You look heavy
नुसता जाडा झालाय,It&#39;s just getting thicker
रेडी झालास का?,Are you ready?
रेडी झालीस का?,Are you ready?
तुझाच आहे मी,I&#39;m yours
तुझीच आहे मी,You are me
तो रडला,He cried
ती रडली,She cried
परत बघ,Look back
किती स्वीट आहे ती,How sweet is that
तो किती हँडसम आहे,What a handsome it is
मी नाही आहे हुशार,I&#39;m not smart
तो मूर्ख आहे,He is a fool
ती मूर्ख आहे,She is a fool
प्लीज चूप रहा,Please be choosy
चूप रहा नाहीतर मारेन तुला,Shut up or else I&#39;ll kill you
ती म्हातारी आहे,She is old
तो म्हातारा आहे,He is old
बाजूला हो,Be on the side
बस ने जा,Just go
ही बस किती साफ आहे,How clean is this bus
ही बस घाणेरडी आहे,This bus is dirty
मला कॉल कर,Call me
मी तुला कॉल करीन,I will call you
शाब्बास,Well done
"वाह, काय बात आहे","Wow, what&#39;s the matter"
टाइम संपला,Time is up
वेळ संपली,Time is up
मी छान आवाज काढतो,I make great noise
माझा घसा बसला आहे,I have a sore throat
मी विसरलो,I forgot
सॉरी माझी चूक झाली,"Sorry, I was wrong"
मला माफ करा,I&#39;m sorry
तू बरोबर आहेस,You are right
तोच मार्ग बरोबर आहे,That is the way
तू कुठे आहेस?,Where are you
तो जाडा आहे,It&#39;s thick
तू जाडी आहे,You are thick
सगळे येडे आहे,Everything is here
तू खरच बेकार आहेस,You really are worthless
तुला काम धंदा नाहीये,You have no business
तू मरून जा,You die
काय मस्त दिसतोस,You look cool
काय रापचीक दिसतेस,What a raspy look
तू सुंदर गीत गातेस,You sing beautiful songs
तू राणी सारखी दिसतेस,You look like a queen
तू राजा सारखा दिसतोस,You look like a king
आपण लग्न करूया,Let&#39;s get married
तिला गाणं आवडतं का?,Does she like to sing
तू गातेस का?,You are of Gaetas?
तू  गातोस का?,You are Gatos?
किती छान गातेस,What a beautiful song
किती अप्रतिम गातोस,What a wonderful song
तू शेव कर,You shave
हे बघ,See this
तू हे सुंदर फूल बघ,You see this beautiful flower
ती तुला आवडली का?,Do you like it
तू त्रास नको देऊस,Don&#39;t worry
त्रास दिलास तर मारेन,"If you suffer, you will die"
गपचुप चालता हो,Have a chat
निघून जा कायमचा ,Leave forever
आम्ही मुलं आहोत,We are children
तुम्ही मुली आहात,You are a girl
ती मला पायजे ,She found me
ती माझीच आहे,She is mine
तो माझाच आहे,He is mine
माझी मदत करा प्लीज,Please help me
मदत केल्याबद्दल धन्यवाद,Thanks for helping out
मी थांबतो,I stop
तू थांबशिल का?,Do you stop
आपण काम करू,We will work
आम्ही मजेत आहोत,We&#39;re having fun
तुम्ही का इतके उदास?,Why are you so sad
तुला वाईट वाटलं का?,Do you feel bad
मला वाईट वाटलं,I feel bad
मला नाही जमत,I do not agree
ती कोण आहे?,Who is she
ती हॉट आहे,She is hot
तो हॉट आहे,It&#39;s hot
ती का ओरडली?,Why did she scream
किती कर्कश आवाज आहे तिचा ,What a jarring sound it is
तू ठरव,You decide
तुला जेल मध्ये टाकेन,Throw you in jail
झालं का तुझं?,Why are you
तुझं मस्त झालं,You&#39;re cool
तू भांडू नकोस,You don&#39;t argue
भांडलास तर वाईट होईल,"If you argue, it will be worse"
मारून टाकेन तुला मी,I&#39;ll kill you
तू देव आहेस का?,Are you god
देवासारखा आलास बघ,Look like God
तू तर दानव आहेस,You are a demon
माफ कर मला,I&#39;m sorry
मी तुला माफ केलं,I&#39;m sorry you
जा कपडे बदल,Change clothes
कपडे घान आहे,The clothes are Ghana
कपडे छान आहे,The clothes are nice
सुरू कर गाडी,Carriage
जा मस्ती करा,Have fun
आपण मस्ती करूया,Let&#39;s have fun
माझी गाडी कुठे आहे?,Where is my car?
बस ना,Settle
बसून बोलूया ना,Let&#39;s sit down and talk
आपण बसुया का?,Shall we sit
तुला वाचता येतं का?,Can you read
तू वाचवलं मला,You saved me
तू त्रास दिलास मला,You hurt me
तुझ्याकडे दारू आहे का?,Do you have alcohol
किती महाग आहे ही गाडी,How expensive is this train
तू खुश आहेस ना?,Are you happy
मी जाम खूश आहे,I&#39;m happy jam
तू खूप तरुण आहे,You are very young
तू कसा इथे आलास?,How did you get here
तू तर हीरो आहेस,You&#39;re a hero
तू किती उंच झालास,How tall have you been
"शाब्बास, उंची गाठली","Shabbos, reached altitude"
तुला नाचता येतं का?,Can you dance
मी तर डान्स मध्ये एक्स्पर्ट आहे,I&#39;m an expert in dance
एकदम सुंदर पिक्चर आहे,It&#39;s a beautiful picture
मुलुंड पश्चिम किती मोठा आहे,How big is Mulund West
क्या बात.. मूवी एकदम मस्त.. मजा आली,What is it .. the movie is very cool .. fun
छान आहे मूवी,Great movie
तू चांगला आहेस,You are good
गजानन चा वडापाव सगळ्यात बेस्ट आहे,Gajanan&#39;s Vadapav is the best of all
आज च दिवस खूप छान आहे,It&#39;s a nice day
तू किती मस्त दिसतेस,How cool you look
Kfc चा बर्गर खूप मस्त आहे,Kfc&#39;s burger is super cool
काका हलवाई ची मिठाई खूप छान आहे,Uncle Halvai&#39;s dessert is very nice
मला नाचायला खूप आवडतं,I love to dance
तू खूपच हुशार आहेस,You are so smart
हा हीरो अॅक्च्युअली चांगला अॅक्ट करतो,This hero performs virtually well
मुंबई खूप छान शहर आहे,Mumbai is a very nice city
मुंबई राहायला खूप छान शहर आहे,Mumbai is a great city to live in
घरातील पडदे सुंदर आहेत,The curtains in the house are beautiful
टीव्ही मधील बातम्या हे सदर चांगले आहे,This is good news in TV
शरीरासाठी मॉर्निंग वॉक चांगला आहे,Morning walk is good for the body
प्रायव्हेट शाळेतील सोयी छान आहेत,Private school facilities are great
लता मंगेशकर यांनी गायलेली गीत फारच सुंदर आणि ऐकावेसे वाटते,The song sung by Lata Mangeshkar is very beautiful and beautiful to listen to
सकाळी दूध पीने चांगले आहे,Drinking milk in the morning is good
रोज सकाळी लवकर उठावे ,Get up early every morning
ही डिश चांगली आहे,This dish is good
हा गेम एकदम मस्त आहे,This game is pretty cool
भाऊ कदम माझा फेवरेट आहे,Brother Kadam is my favorite
खेळायला मजा येते,It&#39;s fun to play
आजचा दिवस खूप घाण आहे,Today is very dirty
मॉर्निंग वॉक करायला कंटाळा येतो,Tired of doing a morning walk
सकाळी दारू नसते प्यायची,In the morning there was no alcohol
ही डिश फालतू आहे,This dish is crap
तो तर विलन दिसतो,He looks villainous
एकदम बेचव फ्रॉईड राइस मिळतो इथे,You get the best-selling fried rice here
मुलुंड पूर्व खूप कॅंजेस्तेड आहे,Mulund East is very congested
बकवास फ्रॉईड राइस,Buckwheat Fried Rice
मला नाही आवडला फ्रॉईड राइस,I did not like fried rice
तू हरामखोर आहेस,You are a bastard
भांडुप मध्ये रिक्षा मिळतच नाही,There is no rickshaw in the capital
ती तुला पटणार नाही,She won&#39;t convince you
तो एवढा चांगला गात नाही,It&#39;s not such a good song
रॉयल ची बिर्यानी खूप बकवास आहे,Royal Cheerleader is so crap
शिरूर चा वडापाव चांगला नसतो,Shirur&#39;s ancestry is not good
मला नॉन व्हेज खायला आवडत नाही,I hate eating non-veg
हॅरी आजकाल विचित्र वागत आहे,Harry is behaving strangely these days
त्या मूवी मध्ये खूप ओव्हर अक्टिंग केली होती,There was a lot of over-acting in that movie
दारू शरीरासाठी नुकसानकारक आहे,Alcohol is harmful to the body
मुंबईची गर्दी फारच बेकार आहे,The Mumbai crowd is very useless
घराला भडक रंग दिलेले बेकार दिसतात,The house looks vivid with its vivid colors
टीव्ही मधील क्राईम स्टोरी ही सीरियल बेकार आहे,Crime Story from TV is a serial nonsense
दारू शरीरासाठी चांगली नाही,Alcohol is not good for the body
सरकारी शाळेत चांगल्या सोयीच नसतात ,Government schools do not have good facilities
बेसूर गायलेली गीत नकोस वाटते,You don&#39;t want to sing a song
चहा पिणे बेकार,Drinking tea is useless
जास्त वेळ झोपू नये,Do not sleep for long
इथे कपडे बकवास मिळतात,Here the clothes get crap
इथे गेम सीडी नाही मिळत,Can&#39;t find a game CD here
बद्रिके ला अक्टिंग येत नाही यार,Badrike does not have any Octing Man
खेळताना लागू शकतं,Can apply while playing
मला चिकन आवडतं,I like chicken
हॅरी किती रोमँटिक आहे,How romantic Harry is
दारू तर नशा आहे,Alcohol is addictive
बिर्यानी माझी आवडती आहे,Biryani is my favorite
थिएटर मध्ये नाटक बघुया,Let&#39;s see the drama in the theater
नाटक अप्रतिम होतं,The play was wonderful
चहा तर जिंदगी आहे,Tea is life
जास्त झोपलो तर फ्रेश वाटते,Feeling asleep if I sleep too much
सरकार खराब आहे,The government is bad
इथे कसलीच सोय नाहीये,There is no comfort here
बद्रिके छान अभिनय करतो,Badrike plays great
मुंबई सगळ्यात छान शहर आहे,Mumbai is the best city
टीव्ही बघण्यात आनंद मिळतो,I enjoy watching TV
गर्दी मध्ये श्वास घेता येत नाही,Can&#39;t breathe in the crowd
हे सगळं इतर कुठल्याही दुकानात मिळेल,It can be found in just about any other shop
देशमुख गार्डन 8 वाजता उघडतं,Deshmukh Garden opens at 8pm
नोवेलटी शॉप मध्ये सगळंच मिळेल,Everything can be found in the Novelty Shop
नोवेलटी शॉप मध्ये सगळ्या वस्तू मिळतात,Everything is available at the Novelty Shop
तिथे कुत्रा झोपला आहे,The dog is sleeping there
मुलुंड नंतर नाहूर स्टेशन ची गरज आहे का,Do you need a Nahur station after Mulund?
खालून भाजी आन,Fry the vegetables on the bottom
मी बाहेर होतो,I was out
पविलिअन मॉल मध्ये सगळं मिळतं,Everything is available at Pavilion Mall
डी-मार्ट मध्ये सगळ्या वस्तू मिळतात,D-Mart gets everything
लोकांनी वाचन करायला हवं,People should read
मला ना वर्ल्ड टूर ल जायचं आहे,I want to go to a world tour
हे त्या मूवी च मोरला होतं,It was about that movie
बॉलिवूड मुंबई मध्ये आहे,Bollywood is in Mumbai
मुंबईची कायदा व्यवस्था उत्तम आहे,Mumbai&#39;s law system is good
घराला घरपण आपल्या माणसांमुळे मिळते,Home is a home for our people
टीव्ही पाहणे योग्य आहे,It&#39;s worth watching TV
शरीर छान ठेवणे ही काळाची गरज आहे,Keeping the body cool is the need of the hour
शाळेत सगळ्या प्रकारचे शिक्षण दिले जाते,All kinds of education are provided in the school
गाणे ऐकणे हा छंद असावा,Listening to a song should be a hobby
"चहा, कॉफी हॉटेल मध्ये मिळेल","Tea, coffee will be found in the hotel"
योगा करणे खूप चांगलं आहे,Yoga is very good to do
हे आईस क्रीम पूर्ण महाराष्ट्र मध्ये मिळतं,This ice cream is available all over Maharashtra
मे काय करू?,What can i do
शो छान आहे,The show is cool
काय खेळायचे?,What to play
मुलुंड स्टेशन मस्त आहे,Mulund station is cool
कालचे जेवण खराब झाले,Yesterday&#39;s meal was bad
लोक वाचतील तर हुशार बनतील,People will become smarter if they read
पुस्तके वाचणे चांगले असते,It&#39;s good to read books
वर्ल्ड टूर करायची मजाच वेगळी आहे,The fun of doing a world tour is different
देशमुख कुठे आहे?,Where is Deshmukh?
मला जेवण नको,I don&#39;t want a meal
मला चायनीज चालेल,I would like Chinese
फ्राईड राईस चविष्ट आहे,Fried rice is tasty
मी ब्रेड खातो,I eat bread
मला ब्रेड आवडतो,I love bread
मला फ्रूटस पण आवडतात,I also like Frutus
तुला काय आवडतं?,What do you like
तू व्यायाम करतो का?,Do you exercise
व्यायाम शरीरासाठी चांगला असतो,Exercise is good for the body
मला धूम्रपान आवडत नाही,I hate smoking
तुला मच्छी आवडते का?,Do you like mosquitoes?
मच्छी तर बेस्ट आहे,Fish is the best
भात आणि मच्छी बेस्ट कॉम्बो आहे,The best combo of rice and fish is
चिकन आणि भात सर्वात भारी आहे,Chicken and rice are the heaviest
मे बनवू का?,May I make it?
मला एकदम चविष्ट चिकन बनवता येतं,I can make very tasty chicken
मी एकटाच राहतो,I live alone
तू राहशील का माझ्यासोबत?,Will you stay with me
एकटं राहायला मजा येते,It is fun to be alone
एकटं राहिलं तर काहीही करता येतं,"If left alone, anything can be done"
मला थोडा वेळ हवा,I&#39;d like some time
मला वेळच मिळत नाही,I just can&#39;t find the time
कुठे जायचं हनिमून ला?,Where to go on honeymoon?
तू सांगशील तिकडे जाऊ,Go wherever you say
एक गोष्ट सांगू का तुला?,Can you tell me one thing?
तिथेच जाऊया छान आहे ती जागा ,Nice place to go there
आणि काय करूया तिकडे?,And what do we do there?
तुला काय करावसं वाटतं?,What do you want to do
मला थोडा वेळ हवा,I&#39;d like some time
तुला किती टाइम लागेल?,How much time do you need
मला गॅस चा वास येतोय,I smell gas
गॅस चा वास किती मोहक आहे ना,How fascinating is the smell of gas
मला थोडं अजून मिळेल का?,Can I have some more?
अजून दिलास तर बरं होईल,"If you give more, it will be better"
मला तूच हविस,I want you
तू माझी होशील का?,Will you be mine
मे एकटा होतो,I was alone
नागडा करून मारेन,I will kill you naked
मी दमलो,I&#39;m tired
मी येतो उद्या,I&#39;ll come tomorrow
उद्या जाम मज्जा येईल,Tomorrow will be jam fun
मी खोटं नाही बोलत,I&#39;m not lying
ती सद्ध्या काय करते?,What does she do?
दुनियादारी करूया,Let&#39;s do it
टाइमपास करूया,Let&#39;s do the timepass
मी ते विकत घेतो,I buy it
ती वस्तू मला आवडली,I like that stuff
मी आरडाओरडा करेन,I&#39;ll shout
तू आवाज नको करुस,You don&#39;t want to sound
मी जेल मध्ये आहे,I&#39;m in jail
जेल खूप वाईट,Prison too bad
मी तंदुरुस्त आहे,I&#39;m fit
हेल्थ ची काळजी घेणे आवश्यक आहे,Health care is a must
"मी टॉम नाहीये, मी हॅरी आहे","I&#39;m not Tom, I&#39;m Harry"
